customer_id,age,sex,marital_status,job,employment_duration,housing,guarantors,num_dependants,checking_status,savings_status,amount,duration,purpose,credit_history,installment_rate,risk_label
1,67,male,single,skilled employee,> 7 years,own,none,1,< 0 DM,unknown/no savings,1169,6,radio/television,critical account/other credits existing (outside this bank),4.0,0
2,22,female,non-single/single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,5951,48,radio/television,existing credits paid back duly,2.0,1
3,49,male,single,unskilled employee,4 - 7 years,own,none,2,no account,< 100 DM,2096,12,education,critical account/other credits existing (outside this bank),2.0,0
4,45,male,single,skilled employee,4 - 7 years,for free,gurantor,2,< 0 DM,< 100 DM,7882,42,furniture/equipment,existing credits paid back duly,2.0,0
5,53,male,single,skilled employee,1 - 4 years,for free,none,2,< 0 DM,< 100 DM,4870,24,car (new),delay paying off in the past,3.0,1
6,35,male,single,unskilled employee,1 - 4 years,for free,none,2,no account,unknown/no savings,9055,36,education,existing credits paid back duly,2.0,0
7,53,male,single,skilled employee,> 7 years,own,none,1,no account,"500 - 1,000 DM",2835,24,furniture/equipment,existing credits paid back duly,3.0,0
8,35,male,single,highly skilled employee,1 - 4 years,rent,none,1,0 - 200 DM,< 100 DM,6948,36,car (used),existing credits paid back duly,2.0,0
9,61,male,divorved/separated,unskilled employee,4 - 7 years,own,none,1,no account,"> 1,000 DM",3059,12,radio/television,existing credits paid back duly,2.0,0
10,28,male,married/widowed,highly skilled employee,unemployed,own,none,1,0 - 200 DM,< 100 DM,5234,30,car (new),critical account/other credits existing (outside this bank),4.0,1
11,25,female,non-single/single,skilled employee,< 1 year,rent,none,1,0 - 200 DM,< 100 DM,1295,12,car (new),existing credits paid back duly,3.0,1
12,24,female,non-single/single,skilled employee,< 1 year,rent,none,1,< 0 DM,< 100 DM,4308,48,business,existing credits paid back duly,3.0,1
13,22,female,non-single/single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,1567,12,radio/television,existing credits paid back duly,1.0,0
14,60,male,single,unskilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,1199,24,car (new),critical account/other credits existing (outside this bank),4.0,1
15,28,female,non-single/single,skilled employee,1 - 4 years,rent,none,1,< 0 DM,< 100 DM,1403,15,car (new),existing credits paid back duly,2.0,0
16,32,female,non-single/single,unskilled employee,1 - 4 years,own,none,1,< 0 DM,100 - 500 DM,1282,24,radio/television,existing credits paid back duly,4.0,1
17,53,male,single,skilled employee,> 7 years,own,none,1,no account,unknown/no savings,2424,24,radio/television,critical account/other credits existing (outside this bank),4.0,0
18,25,male,single,skilled employee,< 1 year,own,none,1,< 0 DM,unknown/no savings,8072,30,business,no credits/paid back duly,2.0,0
19,44,female,non-single/single,highly skilled employee,> 7 years,for free,none,1,0 - 200 DM,< 100 DM,12579,24,car (used),existing credits paid back duly,4.0,1
20,31,male,single,skilled employee,> 7 years,own,none,2,no account,"500 - 1,000 DM",3430,24,radio/television,existing credits paid back duly,3.0,0
21,48,male,single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,2134,9,car (new),critical account/other credits existing (outside this bank),4.0,0
22,44,male,single,skilled employee,1 - 4 years,rent,none,2,< 0 DM,"500 - 1,000 DM",2647,6,radio/television,existing credits paid back duly,2.0,0
23,48,male,single,unskilled employee,< 1 year,rent,none,2,< 0 DM,< 100 DM,2241,10,car (new),critical account/other credits existing (outside this bank),1.0,0
24,44,male,single,skilled employee,< 1 year,own,none,1,0 - 200 DM,100 - 500 DM,1804,12,car (used),critical account/other credits existing (outside this bank),3.0,0
25,26,male,married/widowed,skilled employee,1 - 4 years,own,none,1,no account,unknown/no savings,2069,10,furniture/equipment,critical account/other credits existing (outside this bank),2.0,0
26,36,male,single,unskilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,1374,6,furniture/equipment,existing credits paid back duly,1.0,0
27,39,male,married/widowed,unskilled employee,> 7 years,own,none,1,no account,< 100 DM,426,6,radio/television,no credits/paid back duly,4.0,0
28,42,female,non-single/single,skilled employee,1 - 4 years,rent,none,1,>= 200 DM,"> 1,000 DM",409,12,radio/television,all credits at this bank paid back duly,3.0,0
29,34,male,single,skilled employee,1 - 4 years,own,gurantor,1,0 - 200 DM,< 100 DM,2415,7,radio/television,existing credits paid back duly,3.0,0
30,63,male,single,skilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,6836,60,business,delay paying off in the past,3.0,1
31,36,male,married/widowed,skilled employee,< 1 year,own,none,1,0 - 200 DM,"> 1,000 DM",1913,18,business,existing credits paid back duly,3.0,0
32,27,male,single,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,4020,24,furniture/equipment,existing credits paid back duly,2.0,0
33,30,male,single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,100 - 500 DM,5866,18,car (new),existing credits paid back duly,2.0,0
34,57,male,single,unskilled employee,> 7 years,rent,none,1,no account,unknown/no savings,1264,12,business,critical account/other credits existing (outside this bank),4.0,0
35,33,female,non-single/single,highly skilled employee,< 1 year,own,none,1,>= 200 DM,< 100 DM,1474,12,furniture/equipment,existing credits paid back duly,4.0,0
36,25,male,single,unskilled employee,< 1 year,own,none,1,0 - 200 DM,< 100 DM,4746,45,radio/television,critical account/other credits existing (outside this bank),4.0,1
37,31,male,single,skilled employee,1 - 4 years,for free,none,1,no account,< 100 DM,6110,48,education,critical account/other credits existing (outside this bank),1.0,0
38,37,male,single,skilled employee,1 - 4 years,own,co-applicant,1,>= 200 DM,< 100 DM,2100,18,radio/television,existing credits paid back duly,4.0,1
39,37,male,single,skilled employee,1 - 4 years,own,none,1,>= 200 DM,< 100 DM,1225,10,domestic appliance,existing credits paid back duly,2.0,0
40,24,male,single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,458,9,radio/television,existing credits paid back duly,4.0,0
41,30,male,single,highly skilled employee,> 7 years,own,none,1,no account,"500 - 1,000 DM",2333,30,radio/television,existing credits paid back duly,4.0,0
42,26,male,divorved/separated,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,"500 - 1,000 DM",1158,12,radio/television,existing credits paid back duly,3.0,0
43,44,male,single,unskilled employee,1 - 4 years,own,none,2,0 - 200 DM,< 100 DM,6204,18,repairs,delay paying off in the past,2.0,0
44,24,male,married/widowed,skilled employee,4 - 7 years,rent,none,1,< 0 DM,100 - 500 DM,6187,30,car (used),critical account/other credits existing (outside this bank),1.0,0
45,58,female,non-single/single,unskilled employee,> 7 years,for free,none,1,< 0 DM,< 100 DM,6143,48,car (used),critical account/other credits existing (outside this bank),4.0,1
46,35,female,non-single/single,highly skilled employee,< 1 year,own,none,1,no account,< 100 DM,1393,11,car (new),critical account/other credits existing (outside this bank),4.0,0
47,39,male,single,skilled employee,> 7 years,own,none,1,no account,"500 - 1,000 DM",2299,36,radio/television,existing credits paid back duly,4.0,0
48,23,female,non-single/single,unemployed,unemployed,rent,none,1,< 0 DM,"500 - 1,000 DM",1352,6,car (used),existing credits paid back duly,1.0,0
49,39,male,single,unskilled employee,1 - 4 years,own,none,1,no account,< 100 DM,7228,11,car (new),critical account/other credits existing (outside this bank),1.0,0
50,28,female,non-single/single,skilled employee,1 - 4 years,own,co-applicant,1,no account,100 - 500 DM,2073,12,radio/television,existing credits paid back duly,4.0,0
51,29,male,single,unskilled employee,< 1 year,own,none,1,0 - 200 DM,unknown/no savings,2333,24,furniture/equipment,delay paying off in the past,4.0,0
52,30,male,single,highly skilled employee,> 7 years,own,none,1,0 - 200 DM,< 100 DM,5965,27,car (used),delay paying off in the past,1.0,0
53,25,male,single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,1262,12,radio/television,existing credits paid back duly,3.0,0
54,31,male,single,skilled employee,1 - 4 years,own,none,1,no account,unknown/no savings,3378,18,car (used),existing credits paid back duly,2.0,0
55,57,male,single,skilled employee,> 7 years,for free,none,1,0 - 200 DM,< 100 DM,2225,36,car (new),delay paying off in the past,4.0,1
56,26,male,single,unskilled employee,1 - 4 years,own,gurantor,2,no account,unknown/no savings,783,6,car (new),all credits at this bank paid back duly,1.0,0
57,52,male,single,highly skilled employee,unemployed,own,none,1,0 - 200 DM,unknown/no savings,6468,12,radio/television,existing credits paid back duly,2.0,1
58,31,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,9566,36,radio/television,critical account/other credits existing (outside this bank),2.0,0
59,23,female,non-single/single,highly skilled employee,> 7 years,own,none,1,>= 200 DM,< 100 DM,1961,18,car (new),existing credits paid back duly,3.0,0
60,23,female,non-single/single,unskilled employee,< 1 year,rent,co-applicant,1,< 0 DM,< 100 DM,6229,36,furniture/equipment,critical account/other credits existing (outside this bank),4.0,1
61,27,male,married/widowed,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,1391,9,business,existing credits paid back duly,2.0,0
62,50,male,single,skilled employee,> 7 years,own,gurantor,1,0 - 200 DM,unknown/no savings,1537,15,radio/television,critical account/other credits existing (outside this bank),4.0,0
63,61,male,single,highly skilled employee,> 7 years,for free,none,1,0 - 200 DM,< 100 DM,1953,36,business,no credits/paid back duly,4.0,1
64,25,male,single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,14421,48,business,no credits/paid back duly,2.0,1
65,26,female,non-single/single,skilled employee,< 1 year,own,none,1,no account,< 100 DM,3181,24,radio/television,existing credits paid back duly,4.0,0
66,48,male,single,skilled employee,> 7 years,own,none,2,no account,unknown/no savings,5190,27,repairs,existing credits paid back duly,4.0,0
67,29,female,non-single/single,skilled employee,< 1 year,own,none,1,no account,< 100 DM,2171,12,radio/television,existing credits paid back duly,2.0,0
68,22,male,married/widowed,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,"> 1,000 DM",1007,12,car (new),existing credits paid back duly,4.0,0
69,37,male,single,skilled employee,1 - 4 years,for free,none,1,no account,< 100 DM,1819,36,education,existing credits paid back duly,4.0,1
70,25,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,unknown/no savings,2394,36,radio/television,existing credits paid back duly,4.0,0
71,30,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,8133,36,car (used),existing credits paid back duly,1.0,0
72,46,male,single,unskilled employee,> 7 years,rent,none,1,no account,unknown/no savings,730,7,radio/television,critical account/other credits existing (outside this bank),4.0,0
73,51,male,single,highly skilled employee,> 7 years,for free,none,2,< 0 DM,< 100 DM,1164,8,other,critical account/other credits existing (outside this bank),3.0,0
74,41,female,non-single/single,unskilled employee,4 - 7 years,own,none,1,0 - 200 DM,< 100 DM,5954,42,business,critical account/other credits existing (outside this bank),2.0,0
75,40,male,single,highly skilled employee,> 7 years,own,none,1,< 0 DM,unknown/no savings,1977,36,education,existing credits paid back duly,4.0,1
76,66,male,single,highly skilled employee,> 7 years,for free,none,1,< 0 DM,< 100 DM,1526,12,car (used),critical account/other credits existing (outside this bank),4.0,0
77,34,male,single,skilled employee,< 1 year,own,none,1,< 0 DM,< 100 DM,3965,42,radio/television,existing credits paid back duly,4.0,1
78,51,male,single,skilled employee,4 - 7 years,own,none,1,0 - 200 DM,< 100 DM,4771,11,radio/television,delay paying off in the past,2.0,0
79,39,male,single,unskilled employee,1 - 4 years,own,none,2,no account,unknown/no savings,9436,54,car (used),no credits/paid back duly,2.0,0
80,22,male,married/widowed,skilled employee,< 1 year,own,none,1,0 - 200 DM,< 100 DM,3832,30,furniture/equipment,existing credits paid back duly,2.0,0
81,44,female,non-single/single,skilled employee,< 1 year,own,none,1,no account,unknown/no savings,5943,24,radio/television,existing credits paid back duly,1.0,1
82,47,male,single,skilled employee,> 7 years,own,none,1,no account,"500 - 1,000 DM",1213,15,radio/television,existing credits paid back duly,4.0,0
83,24,female,non-single/single,unskilled employee,1 - 4 years,rent,none,1,no account,100 - 500 DM,1568,18,business,existing credits paid back duly,3.0,0
84,58,female,non-single/single,unskilled employee,> 7 years,own,gurantor,1,< 0 DM,< 100 DM,1755,24,other,existing credits paid back duly,4.0,0
85,52,male,single,unskilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,2315,10,radio/television,existing credits paid back duly,3.0,0
86,29,female,non-single/single,highly skilled employee,1 - 4 years,own,gurantor,1,no account,< 100 DM,1412,12,business,critical account/other credits existing (outside this bank),4.0,0
87,27,female,non-single/single,skilled employee,< 1 year,own,none,1,0 - 200 DM,< 100 DM,1295,18,furniture/equipment,critical account/other credits existing (outside this bank),4.0,0
88,47,male,single,skilled employee,1 - 4 years,for free,none,2,0 - 200 DM,100 - 500 DM,12612,36,education,existing credits paid back duly,1.0,1
89,30,male,single,highly skilled employee,4 - 7 years,own,none,2,< 0 DM,100 - 500 DM,2249,18,car (new),existing credits paid back duly,4.0,0
90,28,male,single,skilled employee,4 - 7 years,own,none,1,< 0 DM,< 100 DM,1108,12,repairs,no credits/paid back duly,4.0,1
91,56,male,single,skilled employee,> 7 years,own,none,1,no account,< 100 DM,618,12,radio/television,critical account/other credits existing (outside this bank),4.0,0
92,54,male,single,skilled employee,> 7 years,own,none,1,< 0 DM,< 100 DM,1409,12,car (used),critical account/other credits existing (outside this bank),4.0,0
93,33,female,non-single/single,unskilled employee,> 7 years,own,none,2,no account,unknown/no savings,797,12,radio/television,critical account/other credits existing (outside this bank),4.0,1
94,20,male,single,skilled employee,> 7 years,rent,co-applicant,1,>= 200 DM,unknown/no savings,3617,24,furniture/equipment,critical account/other credits existing (outside this bank),4.0,0
95,54,male,single,skilled employee,> 7 years,own,none,1,0 - 200 DM,"> 1,000 DM",1318,12,car (new),existing credits paid back duly,4.0,0
96,58,male,single,skilled employee,< 1 year,rent,none,1,0 - 200 DM,< 100 DM,15945,54,business,no credits/paid back duly,3.0,1
97,61,female,non-single/single,skilled employee,4 - 7 years,own,none,1,no account,unknown/no savings,2012,12,education,critical account/other credits existing (outside this bank),4.0,0
98,34,male,single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,100 - 500 DM,2622,18,business,existing credits paid back duly,4.0,0
99,36,male,single,skilled employee,> 7 years,own,none,1,0 - 200 DM,< 100 DM,2337,36,radio/television,critical account/other credits existing (outside this bank),4.0,0
100,36,male,single,highly skilled employee,4 - 7 years,rent,none,2,0 - 200 DM,unknown/no savings,7057,20,car (used),delay paying off in the past,3.0,0
101,41,male,married/widowed,unskilled employee,> 7 years,rent,none,1,no account,100 - 500 DM,1469,24,car (new),existing credits paid back duly,4.0,0
102,24,male,single,skilled employee,4 - 7 years,rent,none,1,0 - 200 DM,< 100 DM,2323,36,radio/television,existing credits paid back duly,4.0,0
103,24,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,932,6,radio/television,delay paying off in the past,3.0,0
104,35,male,single,skilled employee,4 - 7 years,rent,none,1,0 - 200 DM,< 100 DM,1919,9,furniture/equipment,critical account/other credits existing (outside this bank),4.0,0
105,26,male,married/widowed,skilled employee,< 1 year,rent,none,1,no account,unknown/no savings,2445,12,car (used),existing credits paid back duly,2.0,0
106,39,male,single,highly skilled employee,1 - 4 years,own,co-applicant,2,0 - 200 DM,< 100 DM,11938,24,other,critical account/other credits existing (outside this bank),2.0,1
107,39,male,single,highly skilled employee,> 7 years,own,none,2,no account,< 100 DM,6458,18,car (new),all credits at this bank paid back duly,2.0,1
108,32,male,single,skilled employee,4 - 7 years,own,none,1,0 - 200 DM,< 100 DM,6078,12,car (new),existing credits paid back duly,2.0,0
109,30,female,non-single/single,skilled employee,< 1 year,own,none,1,< 0 DM,unknown/no savings,7721,24,furniture/equipment,existing credits paid back duly,1.0,0
110,35,male,married/widowed,skilled employee,> 7 years,own,none,1,0 - 200 DM,"500 - 1,000 DM",1410,14,business,existing credits paid back duly,1.0,0
111,31,male,divorved/separated,skilled employee,> 7 years,own,none,2,0 - 200 DM,100 - 500 DM,1449,6,business,delay paying off in the past,1.0,0
112,23,female,non-single/single,skilled employee,< 1 year,rent,none,1,>= 200 DM,< 100 DM,392,15,education,existing credits paid back duly,4.0,0
113,28,male,single,unskilled employee,4 - 7 years,rent,none,1,0 - 200 DM,< 100 DM,6260,18,car (new),existing credits paid back duly,3.0,0
114,25,female,non-single/single,skilled employee,1 - 4 years,own,none,1,no account,< 100 DM,7855,36,car (new),critical account/other credits existing (outside this bank),4.0,1
115,35,male,married/widowed,skilled employee,> 7 years,own,none,1,< 0 DM,"500 - 1,000 DM",1680,12,radio/television,existing credits paid back duly,3.0,0
116,47,male,single,skilled employee,> 7 years,own,none,1,no account,unknown/no savings,3578,48,radio/television,critical account/other credits existing (outside this bank),4.0,0
117,30,female,non-single/single,highly skilled employee,4 - 7 years,own,none,1,< 0 DM,unknown/no savings,7174,42,radio/television,existing credits paid back duly,4.0,1
118,27,female,non-single/single,skilled employee,< 1 year,rent,co-applicant,1,< 0 DM,unknown/no savings,2132,10,furniture/equipment,critical account/other credits existing (outside this bank),2.0,0
119,23,female,non-single/single,skilled employee,1 - 4 years,own,none,1,< 0 DM,"500 - 1,000 DM",4281,33,furniture/equipment,critical account/other credits existing (outside this bank),1.0,1
120,36,male,divorved/separated,highly skilled employee,4 - 7 years,own,none,1,0 - 200 DM,"500 - 1,000 DM",2366,12,car (new),critical account/other credits existing (outside this bank),3.0,0
121,25,female,non-single/single,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,1835,21,radio/television,existing credits paid back duly,3.0,1
122,41,female,non-single/single,highly skilled employee,> 7 years,rent,none,1,no account,< 100 DM,3868,24,car (used),critical account/other credits existing (outside this bank),4.0,0
123,24,male,single,unskilled employee,1 - 4 years,rent,none,1,no account,< 100 DM,1768,12,furniture/equipment,existing credits paid back duly,3.0,0
124,63,male,single,skilled employee,> 7 years,for free,none,1,>= 200 DM,< 100 DM,781,10,car (new),critical account/other credits existing (outside this bank),4.0,0
125,27,female,non-single/single,skilled employee,< 1 year,rent,none,1,0 - 200 DM,unknown/no savings,1924,18,furniture/equipment,existing credits paid back duly,4.0,1
126,30,male,single,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,2121,12,car (new),critical account/other credits existing (outside this bank),4.0,0
127,40,male,married/widowed,unskilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,701,12,radio/television,existing credits paid back duly,4.0,0
128,30,male,single,skilled employee,1 - 4 years,own,none,1,0 - 200 DM,< 100 DM,639,12,repairs,existing credits paid back duly,4.0,1
129,34,male,single,highly skilled employee,unemployed,own,none,1,0 - 200 DM,< 100 DM,1860,12,car (used),critical account/other credits existing (outside this bank),4.0,0
130,29,female,non-single/single,skilled employee,1 - 4 years,own,co-applicant,1,< 0 DM,< 100 DM,3499,12,car (new),critical account/other credits existing (outside this bank),3.0,1
131,24,female,non-single/single,skilled employee,4 - 7 years,own,none,1,0 - 200 DM,unknown/no savings,8487,48,car (new),existing credits paid back duly,1.0,0
132,29,male,single,skilled employee,1 - 4 years,own,none,1,< 0 DM,< 100 DM,6887,36,education,delay paying off in the past,4.0,1
133,27,male,single,unskilled employee,< 1 year,own,none,1,no account,< 100 DM,2708,15,furniture/equipment,existing credits paid back duly,2.0,0
